name:,photo:,price:,frequency:,resolution:,link:
"Монитор 31,5"" HP 2V7V4AA 2560x1440 16:9 IPS 165ГЦ (HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2Fmonitor_315_hp_2v7v4aa_2560x1440_169_ips_165gcz_hdmidp_black_265790_1.jpg&w=640&q=85 ,189 990 ₸,,,https://www.technodom.kz/p/monitor-315-hp-2v7v4aa-2560x1440-169-ips-165gcz-hdmidp-black-265790
"Монитор 24"" Philips 242E1GAJ/01 1920x1080 16:9 VA 144ГЦ (HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F231447_1.jpg&w=640&q=85 ,84 990 ₸,144,1920x1080 (FHD),https://www.technodom.kz/p/monitor-24-philips-242e1gaj01-black-231447
"Монитор 23.8"" HP M24fw 2D9K1AA 1920x1080 16:9 IPS 75ГЦ (HDMI+VGA) White",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F252268_1z.jpg&w=640&q=85 ,89 900 ₸,75,1920x1080 (FHD),https://www.technodom.kz/p/monitor-238-hp-m24fw-2d9k1aa-white-252268
"Монитор Игровой 32"" Samsung G8 LS32BG852NIXCI 3840x2160 16:9 VA 240ГЦ (2HDMI+DP) Curved White",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F265774_1.jpg&w=640&q=85 ,714 990 ₸,240,3840x2160 (4K Ultra HD),https://www.technodom.kz/p/monitor-igrovoj-27-samsung-g8-ls32bg852nixci-3840x2160-169-va-240gc-2hdmidp-curved-white-265774
"Монитор 27"" Neo M2753H-TD 1920x1080 16:9 IPS 75ГЦ (HDMI+VGA) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2Fmonitor_27_neo_m2753h_td_1920x1080_169_ips_75gc_hdmivga_black_263169_1z.jpg&w=640&q=85 ,79 990 ₸,75,1920x1080 (FHD),https://www.technodom.kz/p/monitor-27-neo-m2753h-td-1920x1080-169-ips-75gc-hdmivga-black-263169
Монитор Игровой 23.8'' LG 24GN60R-B 1920×1080 16:9 IPS 144ГЦ (HDMI+DP) Black,https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2Fmonitor_igrovoj_238_lg_24gn60r_b_19201080_169_ips_144gc_hdmidp_black_267358_1q.jpg&w=640&q=85 ,110 990 ₸,144,1920x1080 (FHD),https://www.technodom.kz/p/monitor-igrovoj-238-lg-24gn60r-b-19201080-169-ips-144gc-hdmidp-black-267358
"Монитор 27"" Samsung LC27R500FHIXCI 1920x1080 16:9 VA 60ГЦ (HDMI+VGA) Curved Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F148826_1.jpg&w=640&q=85 ,99 990 ₸,60,1920x1080 (FHD),https://www.technodom.kz/p/monitor-samsung-lcrfhixci-x-va-gc-black-148826
"Монитор 24"" Samsung LC24F396FHIX/CI 1920х1080 16:9 VA 60ГЦ (HDMI+VGA) Curved Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F58207_1.jpg&w=640&q=85 ,68 990 ₸,60,1920x1080 (FHD),https://www.technodom.kz/p/monitor-zk-samsung-lcffhixci-58207
"Монитор 27"" Apple Studio Display 5120x2880 16:9 IPS 60ГЦ (SG-STD) (MK0U3RU/A)",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F259875_1.jpg&w=640&q=85 ,1 079 990 ₸,60,5120x2880 (5K Ultra HD),https://www.technodom.kz/p/monitor-27-apple-studio-display-sg-std-mk0u3rua-259875
"Монитор игровой 27"" HP X27c 32G13AA 1920x1080 16:9 VA 165ГЦ (HDMI+DP) Curved Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2Fmonitor_igrovoj_27_hp_x27c_32g13aa_268563_1.jpg&w=640&q=85 ,119 990 ₸,165,1920x1080 (FHD),https://www.technodom.kz/p/monitor-igrovoj-27-hp-x27c-32g13aa-268563
"Монитор 24"" HP V24i 9RV17AA 1920x1080 16:9 IPS 60ГЦ (HDMI+VGA) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F232927_1.jpg&w=640&q=85 ,59 990 ₸,60,1920x1080 (FHD),https://www.technodom.kz/p/monitor-24-hp-v24i-9rv17aa-black-232927
Монитор 27'' HP M27FWA 1920х1080 16:9 IPS 75ГЦ (2HDMI+VGA) White,https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F266596_1.jpg&w=640&q=85 ,109 990 ₸,75,1920x1080 (FHD),https://www.technodom.kz/p/monitor-27-hp-m27fwa-1920kh1080-169-ips-75gcz-2hdmivga-white-266596
"Монитор 22"" Samsung LF22T350FHIXCI 1920x1080 16:9 IPS 75ГЦ (HDMI+VGA) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F233211_1.jpg&w=640&q=85 ,59 990 ₸,75,1920x1080 (FHD),https://www.technodom.kz/p/monitor-22-samsung-lf22t350fhixci-233211
"Монитор игровой 23.8"" HP X24IH 2W925AA 1920x1080 16:9 IPS 144ГЦ (HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F262219_1.jpg&w=640&q=85 ,114 990 ₸,,,https://www.technodom.kz/p/monitor-igrovoj-238-hp-x24ih-2w925aa-black-262219
"Монитор 27"" LG 27GP750-B 1920x1080 16:9 IPS 240ГЦ (2HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F259683_10.jpg&w=640&q=85 ,203 990 ₸,240,1920x1080 (FHD),https://www.technodom.kz/p/monitor-27-lg-27gp750-b-1920x1080-2hdmidp-black-259683
"Монитор 27"" LG 27UP650-W 3840x2160 16:9 IPS 60ГЦ (2HDMI+DP) White",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F261201_0.jpg&w=640&q=85 ,199 990 ₸,60,3840x2160 (4K Ultra HD),https://www.technodom.kz/p/monitor-27-lg-27up650-w-2hdmidp-white-261201
"Монитор 32"" Samsung Smart LS32BM702UIXCI 3840x2160 16:9 VA 60ГЦ (2HDMI) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F262059_1.jpg&w=640&q=85 ,205 990 ₸,60,3840x2160 (4K Ultra HD),https://www.technodom.kz/p/monitor-32-samsung-smart-ls32bm702uixci-black-262059
"Монитор 24"" Samsung LF24T350FHIXCI 1920x1080 16:9 IPS 75ГЦ (HDMI+VGA) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F231881_1.jpg&w=640&q=85 ,79 990 ₸,75,1920x1080 (FHD),https://www.technodom.kz/p/monitor-27-samsung-lf24t350fhixci-1920x1080-16-9-ips-75gc-231881
"Монитор Игровой 34"" HUAWEI MateView GT ZQE-CBA 3440x1440 21:9 VA 165ГЦ (HDMI+DP) Curved Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F265619_1.jpg&w=640&q=85 ,249 990 ₸,165,3440x1440,https://www.technodom.kz/p/monitor-igrovoj-34-huawei-mateview-gt-zqe-cba-3440x1440-219-va-165gc-hdmidptype-c-curved-black-265619
"Монитор Игровой 25"" Samsung G4 LS25BG400EIXCI 1920x1080 16:9 IPS 240ГЦ (2HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F265771_1.jpg&w=640&q=85 ,174 990 ₸,240,1920x1080 (FHD),https://www.technodom.kz/p/monitor-igrovoj-25-samsung-g4-ls25bg400eixci-1920x1080-169-ips-240gc-2hdmidp-black-265771
"Монитор 34"" Dell UltraaSharp U3421WE 3440x1440 21:9 IPS 60ГЦ (2HDMI+DP) Curved White",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F262576_1.jpg&w=640&q=85 ,551 190 ₸,60,3440x1440,https://www.technodom.kz/p/monitor-34-dell-ultraasharp-u3421we-curved-white-262576
"Монитор игровой 27"" HP X27 2V6B4AA 1920x1080 16:9 IPS 165ГЦ (HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F252270_1.jpg&w=640&q=85 ,119 990 ₸,,,https://www.technodom.kz/p/monitor-igr-27-hp-x27-2v6b4aa-black-252270
"Монитор 27"" Samsung LS27B610EQIXCI 2560x1440 16:9 IPS 75ГЦ (2HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F261035_1.jpg&w=640&q=85 ,157 990 ₸,75,2560x1440 (2K),https://www.technodom.kz/p/monitor-27-samsung-ls27b610eqixci-261035
Монитор 34'' LG 34WQ60C-B 3440x1440 21:9 IPS 60ГЦ (HDMI+DP) Black,https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2Fmonitor_34_lg_34wq60c_b_3440x1440_219_ips_60gc_hdmidp_black_267762_1.jpg&w=640&q=85 ,235 990 ₸,60,3440x1440,https://www.technodom.kz/p/monitor-34-lg-34wq60c-b-3440x1440-219-ips-60gc-hdmidp-black-267762
"Монитор 23,8"" HP V24e 28N17AA 1920x1080 16:9 IPS 60ГЦ (HDMI+VGA) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2Fmonitor_238_hp_v24e_28n17aa_268564_1.jpg&w=640&q=85 ,58 990 ₸,60,1920x1080 (FHD),https://www.technodom.kz/p/monitor-238-hp-v24e-28n17aa-268564
Монитор Игровой 27'' HP X27Q 2560x1440 16:9 IPS 165ГЦ (HDMI+DP) Black,https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F266594_1.jpg&w=640&q=85 ,161 990 ₸,165,2560x1440 (2K),https://www.technodom.kz/p/monitor-igrovoj-27-hp-x27q-2560x1440-169-ips-165gcz-hdmidp-black-266594
"Монитор Игровой 24"" Samsung LC24RG50FZIXCI 1920x1080 16:9 VA 144ГЦ (2HDMI+DP) Curved Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F260875_1.jpg&w=640&q=85 ,99 990 ₸,144,1920x1080 (FHD),https://www.technodom.kz/p/monitor-igrovoj-24-samsung-lc24rg50fzixci-1920x1080-260875
"Монитор 23,8"" Samsung LS24R350FZIXCI 1920x1080 16:9 IPS 75ГЦ (D-Sub+HDMI) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F259644_1.jpg&w=640&q=85 ,79 990 ₸,75,1920x1080 (FHD),https://www.technodom.kz/p/monitor-23-8-samsung-ls24r350fzixci-259644
"Монитор Игровой 27"" Samsung G4 LS27BG400EIXCI 1920x1080 16:9 IPS 240ГЦ (2HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F265772_1q.jpg&w=640&q=85 ,194 990 ₸,240,1920x1080 (FHD),https://www.technodom.kz/p/monitor-igrovoj-27-samsung-g4-ls27bg400eixci-1920x1080-169-ips-240gc-2hdmidp-black-265772
"Монитор 27"" LG 27UL500 3840x2160 16:9 IPS 60ГЦ (2HDMI+DP) White",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F238026_1.jpg&w=640&q=85 ,169 990 ₸,60,3840x2160 (4K Ultra HD),https://www.technodom.kz/p/monitor-27-lg-27ul500-black-238026
"Игровой монитор 32"" Samsung LS32AG550EIXCI 2560x1440 16:9 VA 165ГЦ (HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F261224_1.jpg&w=640&q=85 ,184 990 ₸,165,2560x1440 (2K),https://www.technodom.kz/p/igrovoj-monitor-32-samsung-ls32ag550eixci-black-261224
"Монитор 21,5"" LG 22MP410-B 1920x1080 16:9 VA 75ГЦ (HDMI+D-Sub) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F260446_1.jpg&w=640&q=85 ,63 990 ₸,75,1920x1080 (FHD),https://www.technodom.kz/p/monitor-215-lg-22mp410-b-black-260446
Монитор 32 LG 32GN600 2560x1440 16:9 VA 165ГЦ (2HDMI+DP) Black,https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F244278_6.jpg&w=640&q=85 ,171 990 ₸,165,2560x1440 (2K),https://www.technodom.kz/p/monitor-32-lg-32gn600-2560x1440-16-9-va-165gc-2hdmi-dp-black-244278
"Монитор Игровой 28"" Samsung LS28AG700NIXCI 3840x2160 16:9 IPS 144ГЦ (2HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F260876_1.jpg&w=640&q=85 ,399 990 ₸,144,3840x2160 (4K Ultra HD),https://www.technodom.kz/p/monitor-igrovoj-28-samsung-ls28ag700nixci-2hdmi-dp-black-260876
Монитор 27 Samsung Smart LS27AM500NIXCI 1920x1080 16:9 VA 60ГЦ (2HDMI) Black,https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F243698_1dfsf.jpg&w=640&q=85 ,129 990 ₸,60,1920x1080 (FHD),https://www.technodom.kz/p/monitor-27-samsung-smart-ls27am500nixci-black-243698
Монитор Игровой 27 Asus VG27WQ 2560x1440 16:9 VA 165Гц (2HDMI+DP) Curved Black,https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F243583_1.jpg&w=640&q=85 ,274 990 ₸,165,2560x1440 (2K),https://www.technodom.kz/p/monitor-igrovoj-27-asus-vg27wq-black-243583
"Монитор Игровой 27"" ASUS VG27AQZ 2560x1440 16:9 IPS 165ГЦ (2HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F263239_1vv.jpg&w=640&q=85 ,299 990 ₸,165,2560x1440 (2K),https://www.technodom.kz/p/monitor-igrovoj-27-asus-vg27aqz-2560x1440-169-ips-165gcz-2hdmidp-black-263239
"Монитор игровой 34"" HP X34 2V7W6E9 3440x1440 21:9 IPS 165ГЦ (HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2Fmonitor_igrovoj_34_hp_x34_2v7w6e9_3440x1440_219_ips_165gc_266986_1.jpg&w=640&q=85 ,228 990 ₸,165,3440x1440,https://www.technodom.kz/p/monitor-igrovoj-34-hp-x34-2v7w6e9-3440x1440-219-ips-165gc-266986
"Игровой монитор 27"" LG 27GP850-B 2560x1440 16:9 IPS 165ГЦ (2HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F256722_1c.jpg&w=640&q=85 ,254 990 ₸,180,2560x1440 (2K),https://www.technodom.kz/p/igrovoj-monitor-27-lg-27gp850-b-2560x1440-2hdmidp-black-256722
Монитор 27 Philips 272E1GAEZ/01 1920x1080 16:9 VA 144ГЦ (HDMI+DP) Black,https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2Fmonitor_27_philips_272e1gaez01_black_246035_1.jpg&w=640&q=85 ,116 990 ₸,144,1920x1080 (FHD),https://www.technodom.kz/p/monitor-27-philips-272e1gaez01-black-246035
"Монитор 23,8"" HUAWEI MateView SE SSN-24 1920х1080 16:9 IPS 75ГЦ (HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F265617_1.jpg&w=640&q=85 ,79 990 ₸,75,1920x1080 (FHD),https://www.technodom.kz/p/monitor-238-huawei-mateview-se-ssn-24-1920h1080-169-ips-75gc-hdmidp-black-265617
"Монитор 27"" Samsung S8 LS27A800NMIXCI 3840x2160 16:9 IPS 60ГЦ (HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F260096_1.jpg&w=640&q=85 ,208 990 ₸,60,3840x2160 (4K Ultra HD),https://www.technodom.kz/p/monitor-27-samsung-s8-ls27a800nmixci-3840x2160-169-ips-260096
"Монитор 43"" Samsung Smart LS43BM702UIXCI 3840x2160 16:9 VA 60ГЦ (2HDMI+Type-C) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F266573_1.jpg&w=640&q=85 ,249 990 ₸,60,3840x2160 (4K Ultra HD),https://www.technodom.kz/p/monitor-43-samsung-smart-ls43bm702uixci-3840x2160-169-va-60gcz-2hdmitype-c-black-266573
"Монитор 27"" Dell S2722QC 3840x2160 16:9 IPS 60ГЦ (2HDMI+Type-C) Silver",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F262570_1.jpg&w=640&q=85 ,213 590 ₸,60,3840x2160 (4K Ultra HD),https://www.technodom.kz/p/monitor-27-dell-s2722qc-silver-262570
"Монитор 27"" Samsung Smart LS27BM500EIXCI 1920x1080 16:9 VA 60ГЦ (2HDMI) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F262058_1.jpg&w=640&q=85 ,129 990 ₸,60,1920x1080 (FHD),https://www.technodom.kz/p/monitor-27-samsung-smart-ls27bm500eixci-black-262058
"Монитор 27"" Philips 272E1GAJ/01 1920x1080 16:9 VA 144ГЦ (HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F231448_1as.jpg&w=640&q=85 ,104 990 ₸,144,1920x1080 (FHD),https://www.technodom.kz/p/monitor-27-philips-272e1gaj01-1920x1080-169-va-144gcz-231448
Монитор 31.5'' LG 32MP60G 1920×1080 16:9 IPS 75ГЦ (HDMI+DP) Black,https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2Fmonitor_315_lg_32mp60g_19201080_169_ips_75gc_hdmidp_black_245844_1.jpg&w=640&q=85 ,127 990 ₸,75,1920x1080 (FHD),https://www.technodom.kz/p/monitor-315-lg-32mp60g-19201080-169-ips-75gc-hdmidp-black-245844
"Монитор 27"" HP M27fd 2H3Y8AA 1920x1080 16:9 IPS 75ГЦ (2HDMI+VGA+Type-C) Silver",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F255156_1.jpg&w=640&q=85 ,119 990 ₸,75,1920x1080 (FHD),https://www.technodom.kz/p/monitor-27-hp-m27fd-2h3y8aa-silver-255156
"Монитор 27"" Xiaomi BHR4975EU 1920х1080 16:9 IPS 75ГЦ (HDMI+VGA) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F263237_1.jpg&w=640&q=85 ,109 990 ₸,75,1920x1080 (FHD),https://www.technodom.kz/p/monitor-27-xiaomi-bhr4975eu-1920kh1080-169-ips-75gcz-hdmivga-black-263237
Монитор 24 Samsung LF24G33TFWIXCI 1920x1080 16:9 VA 144ГЦ (HDMI+DP+VGA) Black,https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F245281_1.jpg&w=640&q=85 ,104 990 ₸,144,1920x1080 (FHD),https://www.technodom.kz/p/monitor-24-samsung-lf24g33tfwixci-1920x1080-169-va-245281
"Монитор Игровой 24"" Samsung LS24AG302NIXCI 1920x1080 16:9 VA 144ГЦ (HDMI+DP) Black",https://www.technodom.kz/_next/image?url=https%3A%2F%2Fapi.technodom.kz%2Ff3%2Fapi%2Fv1%2Fimages%2F800%2F800%2F265196_1a.jpg&w=640&q=85 ,104 990 ₸,144,1920x1080 (FHD),https://www.technodom.kz/p/monitor-igrovoj-24-samsung-ls24ag302nixci-1920x1080-169-va-144gcz-hdmidp-black-265196
